hawkfish_no,year,season,treatment_new,bw_g,tank,tl_cm,sl_cm,chase_pre_v_post,mmr_corrected,smr_low10_all,aas_corrected,fas,percent_bw_scallop_fed,SDA_integrated,SDA_duration,peak_SDA_max,time_peak_SDA_max,sda_coeff,tarr,fhmax_peak,tpeak
55,2022,summer,33,5.65,T6,NA,NA,pre,16.17,6.05,10.11,2.67,2,22.72,21.5,10.44,5.5,0.50,NA,NA,NA
56,2019,winter,27,7,S5,8.1,6.3,pre,9.11,1.93,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
57,2019,winter,27,2,S1,5,4.2,pre,15.33,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
58,2019,winter,27,3.8,S6,6.5,5.4,pre,16.91,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2019,winter,31,1,S2,NA,NA,pre,15.57,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
60,2019,winter,31,5,S3,5.8,4.8,post,8.42,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
61,2019,winter,31,3.3,S7,6.1,5.1,pre,15.86,6.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2019,winter,31,2,S2,6.1,4.7,pre,20.49,1.81,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
63,2022,summer,28,9.32,T8,NA,NA,pre,8.23,3.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2022,summer,28,3.92,T8,NA,NA,pre,11.80,3.13,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
65,2022,summer,29,2.37,T1,5.2,NA,pre,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,37.8,422.56,36.9
66,2022,summer,33,2.28,T6,NA,NA,pre,15.20,1.43,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
67,2022,summer,33,4.64,T4,NA,NA,pre,16.05,5.28,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
68,2022,summer,wild,6.34,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,337.17,34.9
69,2022,summer,wild,5.85,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,373.59,34.9
70,2022,summer,wild,4.38,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,417.16,36.9
71,2022,summer,wild,12.53,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,264.99,33.2
72,2022,summer,wild,2.35,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2022,summer,wild,6.1,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,332.82,35.1
74,2022,summer,wild,5.32,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,421.05,36.9
75,2022,summer,wild,1.45,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,282.47,31.9
